Ranking (Worst Air Quality),Location,Year,Average (µg/m3),Median (µg/m3),Lower (µg/m3),Upper (µg/m3)
1,Nepal,2017,99.7,94.5,44.6,179.5
2,Niger,2017,94.1,70.6,18.6,306.8
3,Qatar,2017,91.2,88.7,55.5,140.7
4,India,2017,90.9,91.3,67.5,113.6
5,Saudi Arabia,2017,87.9,78.6,29.6,197.9
6,Egypt,2017,87,82,33.7,164.2
7,Cameroon,2017,72.8,65.4,22.2,167.7
8,Nigeria,2017,71.8,50.9,18.8,270.6
9,Bahrain,2017,70.8,69.7,49.1,99.4
10,Chad,2017,66,52.7,14.9,194
11,Iraq,2017,61.6,58.3,29,109.7
12,Bangladesh,2017,60.8,60.3,38,86.3
13,Kuwait,2017,60.7,58.4,39.3,90.8
14,Pakistan,2017,58.3,55.5,31.1,106.1
15,Afghanistan,2017,56.9,54.9,25.9,103.2
16,Central African Republic,2017,56.8,46.5,14.3,154.5
17,Sudan,2017,55.4,45.6,15.4,142.5
18,Libya,2017,54.3,45.9,16.2,135.5
19,Equatorial Guinea,2017,53.2,47.8,19.3,120.7
20,China,2017,52.7,53.3,41,62.8
21,Uganda,2017,50.5,47.3,21.1,97.2
21,Yemen,2017,50.5,42.3,15.8,126
22,Eritrea,2017,48,42.2,15.6,114.7
23,Mauritania,2017,47.4,39.2,11.7,135.4
24,Congo,2017,46.6,39.7,12.9,121.8
25,Tajikistan,2017,46.2,41,15,105.6
26,South Sudan,2017,45.6,40.4,14.7,107
27,Djibouti,2017,45.5,39.4,14.3,114
28,Democratic Republic of the Congo,2017,44.9,39.2,11.7,105.9
29,Gabon,2017,44.4,38.5,15.2,102.7
30,Turkey,2017,44.3,43.2,26.5,67.5
31,Syria,2017,43.8,39.8,22.7,87.8
32,Rwanda,2017,43.2,38.7,14.9,99.7
33,Burkina Faso,2017,42.9,36,12.2,110
34,Oman,2017,41.1,38.5,20,76.6
35,United Arab Emirates,2017,40.9,39.3,23,71.8
36,Senegal,2017,40.7,38.7,15.2,79.1
37,Mongolia,2017,40.1,42.2,9.1,73
38,Benin,2017,39,31.8,13.5,112.5
38,Iran,2017,39,38.8,34.4,44.8
38,Ethiopia,2017,39,37.7,25.5,58.2
39,Burundi,2017,38.9,34.8,14.5,85.2
39,Algeria,2017,38.9,34.7,12.8,89.4
40,Mali,2017,38.5,31.8,9.6,116.4
41,Bhutan,2017,37.9,36.4,21.6,66
42,Tunisia,2017,37.7,35.6,19.5,69
43,Togo,2017,35.7,32.1,12.9,79.5
44,Myanmar,2017,35.6,33.9,21.2,58.4
45,Cape Verde,2017,34.8,32.7,15.7,68.3
46,Ghana,2017,34.7,30.9,11.6,85.8
47,The Gambia,2017,34,31.8,15.4,67.3
48,Palestine,2017,33.2,31.7,18,60.3
49,Jordan,2017,33,32,19.4,53.9
50,Morocco,2017,32.6,31.2,17.1,55.2
51,Armenia,2017,32.5,30.9,16.2,59.5
52,Angola,2017,32.4,29,12,70.8
53,Somalia,2017,32,29.2,12.8,72.1
53,North Korea,2017,32,31,19.2,48.4
54,Lebanon,2017,30.6,29.8,20.6,43.4
55,Guinea-Bissau,2017,29.8,27.8,12.4,59.4
56,Macedonia,2017,29.7,28.9,17.9,51
57,Vietnam,2017,29.6,29,11.2,50.5
58,Tanzania,2017,29.1,25,12.3,67.1
59,Kenya,2017,28.6,28.5,25.5,32.4
60,Sao Tome and Principe,2017,28.5,26.8,13.1,52.2
60,Uzbekistan,2017,28.5,25.8,7.6,61.6
61,Lesotho,2017,28,27.2,16,45.8
62,Bosnia and Herzegovina,2017,27.7,28,13.9,45.7
63,Zambia,2017,27.4,24.4,10.4,62.2
64,Thailand,2017,26.3,26.3,13.5,40.8
65,Guinea,2017,26.1,22.4,8.6,68.9
66,Cote d'Ivoire,2017,25.9,23.1,8.7,57.9
67,Cambodia,2017,25.6,24.1,12.7,48.6
68,Namibia,2017,25.4,22.8,9.6,53.2
69,Laos,2017,25.1,24.1,9.9,45.2
69,South Africa,2017,25.1,24.9,20.5,31.1
70,South Korea,2017,25,24.8,18.8,32.5
71,Peru,2017,24.8,23.1,8.9,51.3
71,Suriname,2017,24.8,23.3,9.2,48.3
72,Serbia,2017,24.7,24.3,14.3,35.5
73,El Salvador,2017,24.5,23.5,13.3,40.7
74,Trinidad and Tobago,2017,24.1,22.4,10.7,48
74,Guatemala,2017,24.1,23.6,13.9,36.2
75,Malawi,2017,23.6,21.2,9.7,47.4
76,Taiwan,2017,23.2,23.1,14.6,31.8
77,Botswana,2017,23.1,21.8,10.3,43.8
77,Barbados,2017,23.1,22.3,12.4,38.6
78,Belize,2017,23,21,9.1,49.6
79,Kyrgyzstan,2017,22.7,18.3,7.8,54.6
79,Grenada,2017,22.7,21.2,11.4,42.5
80,Madagascar,2017,22.5,21.6,11.2,38.2
81,Saint Lucia,2017,22.4,21.3,12.5,38.8
81,Guyana,2017,22.4,20,8.4,50.2
82,Zimbabwe,2017,22.3,20.2,9,47.3
83,Saint Vincent and the Grenadines,2017,22.2,20.8,11.4,41.7
83,Georgia,2017,22.2,21.4,11.3,37
84,Turkmenistan,2017,21.8,19.7,7.1,45.4
85,Sierra Leone,2017,21.6,19.7,9.2,44.2
85,Bolivia,2017,21.6,20.2,8,44.4
86,Israel,2017,21.4,20.6,12.8,43.6
87,Mozambique,2017,21.3,19.3,9.5,43.5
88,Chile,2017,21,21.5,9.1,32.7
89,Mexico,2017,20.9,21.3,14.5,26.8
89,Poland,2017,20.9,20.5,11.2,33.3
90,Montenegro,2017,20.8,20.4,14.4,29.7
91,Honduras,2017,20.6,19.9,11.5,34.8
92,Comoros,2017,20.5,19.4,9.7,37.8
93,Ukraine,2017,20.3,18.7,9.2,44
94,Seychelles,2017,20.2,19.1,10.6,37
95,Azerbaijan,2017,19.9,18.6,8,41.1
96,Cuba,2017,19.7,18.7,7.1,37.9
97,Dominica,2017,19.5,18.7,10.4,33
98,Timor-Leste,2017,19.3,17.8,7.4,40.3
99,Bulgaria,2017,19.1,18.7,12,30.6
99,Singapore,2017,19.1,19,12.4,26.6
100,Belarus,2017,18.8,18.2,11.3,29.8
101,Antigua and Barbuda,2017,18.6,17.5,9.9,32
102,Albania,2017,18.2,17.7,12.1,27.3
103,Philippines,2017,18.1,18.2,7.8,28.8
104,Liberia,2017,18,16.8,8.9,34.1
105,Croatia,2017,17.9,17.5,10.7,28.1
106,Nicaragua,2017,17.6,17,8.4,30.4
106,Slovakia,2017,17.6,17.4,13.1,23.1
107,The Bahamas,2017,17.4,15.9,7.4,33.8
108,Cyprus,2017,17.3,16.8,12.7,23.9
109,Swaziland,2017,17.2,16.7,10.2,26.2
110,Venezuela,2017,17,15.8,6.6,35
111,Italy,2017,16.8,15.6,8.6,27.8
112,Colombia,2017,16.5,14.9,6.6,35.5
112,Indonesia,2017,16.5,16.1,12.9,21.7
113,Moldova,2017,16.3,15.9,9.9,26
114,Greece,2017,16.2,15.7,10.1,26.3
114,Russian Federation,2017,16.2,16.1,12.7,20.2
115,Czech Republic,2017,16.1,15.2,10.7,27.8
116,Malaysia,2017,16,15.9,6.7,25.9
116,Slovenia,2017,16,15.7,11.3,21.5
117,Hungary,2017,15.9,15.6,11.5,21.9
118,Costa Rica,2017,15.7,16.1,9.5,21.3
119,Haiti,2017,15,13.5,6.3,33
120,Ecuador,2017,14.9,14.5,8.3,24.7
121,Romania,2017,14.6,14.3,9.1,21.6
122,Mauritius,2017,14.5,13.8,7.2,26.8
123,Malta,2017,13.9,14.1,10.4,18.2
124,Kazakhstan,2017,13.8,11.8,3.1,37.7
125,Dominican Republic,2017,13.7,12.5,5.6,28.3
126,Latvia,2017,13.4,12.5,7.8,23.9
126,Jamaica,2017,13.4,13.1,8.7,21.9
127,Argentina,2017,13.3,11.6,5.4,31.1
128,Belgium,2017,12.9,12.8,8.6,17.2
129,Brazil,2017,12.7,12.7,10.2,15.3
130,Austria,2017,12.5,12.5,8,18.3
130,American Samoa,2017,12.5,11.9,6.7,20.6
131,Papua New Guinea,2017,12.3,10,3.4,35.4
132,Netherlands,2017,12,12,9.6,14.8
132,Germany,2017,12,11.8,8.6,16.7
133,Paraguay,2017,11.9,11.5,5.6,21.1
133,Solomon Islands,2017,11.9,10.3,3.8,29.5
133,Lithuania,2017,11.9,11.5,8.6,16.3
134,France,2017,11.8,11.6,8.1,16.5
135,Japan,2017,11.7,11.8,10.3,13
135,Vanuatu,2017,11.7,10.5,3.7,25.8
136,Bermuda,2017,11.6,11.3,7,18
136,Guam,2017,11.6,11.4,7.1,18.8
136,Greenland,2017,11.6,10.7,4.9,24.8
137,Samoa,2017,11.5,10.4,3.5,26
138,Panama,2017,11.4,11.2,6.2,18.2
139,Federated States of Micronesia,2017,11.3,10.4,4.1,23
140,Sri Lanka,2017,11.1,7.2,2.4,27.3
141,Fiji,2017,10.8,9.9,4,22.4
141,Tonga,2017,10.8,10.1,4.2,21.7
142,Kiribati,2017,10.6,9.9,4.2,21.8
143,United Kingdom,2017,10.5,10.5,9.7,11.2
144,Luxembourg,2017,10.4,10.5,7.7,12.7
145,Andorra,2017,10.3,9.5,7.5,15.7
145,Switzerland,2017,10.3,10.1,7.4,14
145,"Virgin Islands, U.S.",2017,10.3,9.7,5.7,18.6
146,Marshall Islands,2017,10.2,9.6,4.4,20.3
147,Denmark,2017,10,10,7.3,13.1
148,Northern Mariana Islands,2017,9.9,9.5,5.9,15.7
149,Spain,2017,9.7,9.5,6.1,14.2
150,Uruguay,2017,9.3,8.7,5.4,17.3
151,Australia,2017,8.6,7.2,4,18.3
152,Puerto Rico,2017,8.3,8.1,4.6,13.4
153,Ireland,2017,8.2,8.2,6.1,10.5
153,Portugal,2017,8.2,8,4.9,12.6
154,Maldives,2017,7.8,7.7,5.6,10.6
155,United States,2017,7.4,7.5,6.1,8.5
156,Norway,2017,7,7,6,7.7
157,Estonia,2017,6.7,6.7,4.8,9.1
158,Iceland,2017,6.5,5.8,4.2,13.8
159,Canada,2017,6.4,6.4,3.9,8.9
160,Sweden,2017,6.2,6,4.3,9.7
161,New Zealand,2017,6,5.8,3.9,9.2
162,Brunei,2017,5.9,5.9,4.1,8.1
162,Finland,2017,5.9,5.9,3.8,7.8
